87.8084	59.546	853.653		65.9804	78.9694	850.94		45.21	34.2376	847.227		64.0663	27.8764	850.503		
87.8099	59.5474	853.641		65.9833	78.9713	850.931		45.2104	34.2414	847.226		64.0676	27.8794	850.494		
87.8094	59.5459	853.616		65.982	78.9696	850.913		45.2115	34.2398	847.203		64.068	27.8793	850.488		
87.8094	59.5475	853.635		65.9812	78.9704	850.926		45.2105	34.2399	847.211		64.0663	27.8788	850.493		
87.8067	59.549	853.647		65.9798	78.973	850.933		45.2077	34.2419	847.226		64.0645	27.8811	850.502		
87.8081	59.5473	853.631		65.9806	78.9712	850.924		45.2086	34.2403	847.224		64.0659	27.8794	850.492		
87.8085	59.5476	853.633		65.981	78.9719	850.925		45.2097	34.2411	847.214		64.0666	27.8797	850.49		
87.8073	59.5492	853.635		65.9814	78.9724	850.919		45.21	34.2424	847.213		64.0659	27.882	850.491		
87.8093	59.5523	853.615		65.9832	78.9754	850.9		45.2125	34.2451	847.209		64.0679	27.8844	850.487		
87.8068	59.5486	853.626		65.9798	78.974	850.923		45.2101	34.2429	847.231		64.0671	27.8823	850.487		
87.8071	59.5542	853.648		65.9804	78.9768	850.929		45.2091	34.2469	847.22		64.0648	27.8867	850.502		
87.8079	59.5556	853.626		65.9795	78.9798	850.919		45.2096	34.2464	847.211		64.0665	27.8869	850.482		
87.8076	59.5522	853.642		65.9799	78.9764	850.931		45.2098	34.2455	847.219		64.0664	27.8842	850.49		
87.8048	59.5507	853.64		65.9765	78.9773	850.948		45.2076	34.2444	847.228		64.0643	27.8827	850.502		
87.8071	59.5507	853.632		65.9799	78.9743	850.927		45.2095	34.2434	847.213		64.065	27.883	850.492		
87.8073	59.5531	853.641		65.9797	78.977	850.932		45.2078	34.2455	847.226		64.0649	27.8852	850.501		
87.8095	59.5519	853.635		65.9822	78.9755	850.918		45.2108	34.2458	847.219		64.0677	27.8836	850.488		
87.8089	59.5548	853.648		65.9808	78.9791	850.938		45.2104	34.2479	847.222		64.0671	27.8865	850.501		
87.8101	59.5526	853.627		65.9826	78.9763	850.921		45.2111	34.2459	847.212		64.0676	27.8854	850.492		
87.8115	59.5538	853.63		65.9839	78.977	850.92		45.2136	34.2471	847.204		64.07	27.8856	850.48		
87.8109	59.5524	853.646		65.9824	78.9771	850.935		45.2119	34.2456	847.224		64.0688	27.8846	850.509		
87.8095	59.5534	853.655		65.9809	78.978	850.946		45.2107	34.2452	847.25		64.0671	27.885	850.52		
87.8059	59.5559	853.641		65.9795	78.9792	850.934		45.2084	34.2472	847.213		64.0643	27.8879	850.495		
87.8058	59.5532	853.626		65.9796	78.9771	850.91		45.2093	34.2458	847.205		64.0649	27.8855	850.485		
87.8073	59.5505	853.636		65.9794	78.9729	850.923		45.2094	34.2444	847.216		64.0654	27.8841	850.496		
87.808	59.5528	853.621		65.9798	78.9768	850.913		45.2103	34.2466	847.2		64.0661	27.8862	850.484		
87.8046	59.5539	853.646		65.9772	78.979	850.941		45.2058	34.247	847.227		64.0626	27.8867	850.504		
87.8073	59.5525	853.642		65.9798	78.9763	850.923		45.2086	34.2461	847.211		64.0645	27.8856	850.489		
87.8054	59.5554	853.645		65.9779	78.9798	850.936		45.2083	34.2466	847.217		64.0639	27.8868	850.493		
87.8053	59.5545	853.658		65.978	78.9796	850.948		45.2062	34.2462	847.24		64.0627	27.8846	850.517		
