679.419	528.271	649.482	556.515	619.677	494.06	646.048	484.356	
679.423	528.269	649.482	556.512	619.677	494.063	646.051	484.357	
679.425	528.267	649.487	556.513	619.678	494.065	646.041	484.356	
679.422	528.264	649.487	556.515	619.675	494.066	646.048	484.357	
679.427	528.275	649.492	556.516	619.679	494.054	646.048	484.355	
679.423	528.266	649.483	556.515	619.676	494.064	646.049	484.361	
679.424	528.279	649.485	556.522	619.68	494.066	646.043	484.349	
679.426	528.274	649.485	556.51	619.678	494.065	646.042	484.355	
679.425	528.275	649.487	556.516	619.679	494.066	646.044	484.363	
679.428	528.276	649.487	556.516	619.679	494.062	646.046	484.346	
679.424	528.264	649.482	556.515	619.683	494.07	646.055	484.361	
679.434	528.271	649.486	556.517	619.675	494.066	646.048	484.363	
679.418	528.272	649.484	556.515	619.685	494.069	646.047	484.357	
679.421	528.276	649.484	556.512	619.677	494.074	646.047	484.363	
679.427	528.272	649.482	556.519	619.683	494.062	646.055	484.36	
679.43	528.276	649.489	556.516	619.682	494.068	646.051	484.351	
679.421	528.272	649.478	556.52	619.68	494.069	646.054	484.354	
679.426	528.275	649.487	556.524	619.683	494.064	646.053	484.359	
679.426	528.275	649.481	556.519	619.679	494.068	646.051	484.36	
679.43	528.272	649.489	556.525	619.676	494.07	646.053	484.361	
679.426	528.283	649.484	556.523	619.674	494.065	646.048	484.357	
679.419	528.273	649.488	556.518	619.67	494.061	646.045	484.362	
679.429	528.272	649.48	556.518	619.675	494.071	646.048	484.361	
679.422	528.281	649.479	556.525	619.68	494.066	646.052	484.359	
679.426	528.272	649.484	556.516	619.672	494.072	646.049	484.363	
679.423	528.279	649.485	556.517	619.68	494.068	646.049	484.361	
679.428	528.277	649.482	556.523	619.683	494.066	646.046	484.365	
679.428	528.273	649.482	556.516	619.675	494.072	646.053	484.356	
679.426	528.278	649.483	556.519	619.676	494.076	646.049	484.361	
679.43	528.278	649.489	556.518	619.677	494.068	646.046	484.358	
679.423	528.28	649.481	556.523	619.671	494.069	646.056	484.359	
679.433	528.276	649.482	556.52	619.679	494.071	646.054	484.364	
679.425	528.283	649.485	556.515	619.68	494.069	646.058	484.368	
679.413	528.275	649.485	556.515	619.678	494.076	646.051	484.363	
679.425	528.279	649.486	556.521	619.674	494.069	646.051	484.357	
679.429	528.275	649.49	556.52	619.677	494.069	646.056	484.364	
679.43	528.281	649.489	556.523	619.68	494.069	646.056	484.361	
679.432	528.28	649.481	556.522	619.685	494.074	646.051	484.362	
679.435	528.287	649.487	556.523	619.682	494.073	646.047	484.359	
679.43	528.28	649.484	556.52	619.676	494.073	646.052	484.358	
679.424	528.274	649.482	556.522	619.679	494.075	646.055	484.361	
679.431	528.281	649.481	556.525	619.678	494.075	646.052	484.366	
679.422	528.273	649.477	556.524	619.685	494.067	646.05	484.36	
679.429	528.286	649.486	556.528	619.682	494.07	646.051	484.366	
679.417	528.281	649.483	556.529	619.68	494.077	646.057	484.365	
679.427	528.282	649.489	556.527	619.684	494.068	646.049	484.364	
679.429	528.279	649.486	556.524	619.686	494.075	646.053	484.363	
679.429	528.276	649.49	556.525	619.684	494.067	646.05	484.358	
679.422	528.277	649.488	556.523	619.681	494.075	646.054	484.357	
679.427	528.28	649.484	556.53	619.681	494.07	646.044	484.363	
679.43	528.283	649.488	556.522	619.681	494.077	646.057	484.368	
679.429	528.274	649.489	556.525	619.682	494.071	646.046	484.362	
679.426	528.283	649.487	556.522	619.678	494.069	646.052	484.361	
679.425	528.286	649.492	556.519	619.682	494.074	646.055	484.365	
679.427	528.283	649.488	556.521	619.684	494.075	646.059	484.365	
679.433	528.279	649.485	556.524	619.677	494.075	646.051	484.364	
679.423	528.279	649.489	556.52	619.682	494.075	646.054	484.366	
679.423	528.281	649.491	556.524	619.676	494.073	646.054	484.367	
679.431	528.277	649.485	556.528	619.678	494.074	646.055	484.363	
679.424	528.282	649.486	556.531	619.68	494.073	646.053	484.363	
679.42	528.281	649.484	556.53	619.676	494.074	646.047	484.367	
679.429	528.285	649.486	556.529	619.683	494.078	646.058	484.362	
679.427	528.283	649.486	556.522	619.686	494.078	646.059	484.367	
679.431	528.283	649.492	556.525	619.682	494.07	646.052	484.365	
679.429	528.283	649.485	556.526	619.684	494.074	646.052	484.364	
679.427	528.292	649.485	556.531	619.688	494.077	646.052	484.363	
679.426	528.28	649.489	556.528	619.679	494.073	646.053	484.365	
679.435	528.285	649.491	556.523	619.681	494.071	646.053	484.361	
679.421	528.275	649.49	556.53	619.676	494.077	646.046	484.368	
679.423	528.284	649.492	556.525	619.686	494.076	646.054	484.373	
679.428	528.284	649.487	556.531	619.683	494.075	646.054	484.367	
679.434	528.287	649.489	556.533	619.684	494.079	646.055	484.368	
679.431	528.279	649.488	556.527	619.678	494.074	646.054	484.361	
679.434	528.284	649.49	556.522	619.681	494.075	646.05	484.364	
679.427	528.284	649.488	556.528	619.687	494.08	646.053	484.367	
679.427	528.286	649.481	556.524	619.683	494.078	646.057	484.362	
679.425	528.283	649.489	556.531	619.679	494.075	646.058	484.362	
679.433	528.278	649.494	556.526	619.681	494.077	646.047	484.362	
679.434	528.284	649.487	556.528	619.68	494.078	646.055	484.371	
679.431	528.284	649.492	556.53	619.68	494.08	646.052	484.371	
679.428	528.282	649.493	556.526	619.689	494.073	646.055	484.368	
679.425	528.284	649.485	556.526	619.682	494.07	646.056	484.367	
679.424	528.282	649.487	556.531	619.683	494.082	646.051	484.374	
679.425	528.277	649.485	556.522	619.674	494.073	646.047	484.366	
679.43	528.288	649.489	556.526	619.688	494.083	646.052	484.376	
679.428	528.281	649.492	556.528	619.682	494.075	646.052	484.361	
679.43	528.284	649.491	556.529	619.686	494.076	646.054	484.369	
679.428	528.288	649.483	556.529	619.69	494.073	646.05	484.366	
679.43	528.287	649.483	556.53	619.681	494.08	646.053	484.372	
679.426	528.282	649.484	556.534	619.686	494.075	646.045	484.366	
679.431	528.28	649.49	556.53	619.682	494.078	646.05	484.365	
679.423	528.283	649.484	556.525	619.679	494.073	646.052	484.368	
679.426	528.276	649.489	556.529	619.685	494.08	646.056	484.368	
679.423	528.29	649.485	556.533	619.675	494.084	646.056	484.375	
