	[-57.22011222980103, -148.3780219085687, 618.0762947612366]
	[-136.0451478413381, -32.8762810760534, 863.4366254257792]
	[-145.1992960234368, -11.63974545923193, 864.6550737361208]
	[-156.332747582627, 8.07335034726907, 877.1644942901657]
	[-153.0215750580095, 8.064620395058938, 871.8955096266561]
	[-153.0006129302754, 6.121452158182734, 871.1832595805299]
	[-154.3549925767655, 7.029557387447895, 876.8912772660428]
	[-153.9605424769952, 5.478723527957271, 876.6950987571483]
	[-154.2501691553893, 4.201732144147059, 875.3793953542868]
	[-155.0986380364153, 5.345515073755124, 876.5271541296609]
	[-154.5314058542156, 6.529062031142786, 877.8325866695079]
	[-155.3933993811382, 6.663126482054892, 877.2369937313684]
	[-155.754191902132, 7.415298720035025, 878.3685406212878]
	[-156.7075734038581, 9.911314355819556, 879.5054441587043]
	[-156.419656655504, 7.111110219668078, 879.4107250866878]
	[-156.0300349388816, 7.340517633980596, 878.2300505432316]
	[-162.3572664726903, 8.477455262819547, 879.5512226808434]
	[-143.7059112273467, -22.17116607767127, 872.4249191362372]
	[-145.9734746204772, -17.01429627083382, 872.7055885905668]
	[-152.7908824466653, -4.413471792092622, 876.0352885752127]
	[-150.2042086230255, -2.63809697356406, 871.4572658743486]
	[-149.6904596523022, -3.554111515521825, 870.50100523914]
	[-152.7711150292414, -1.018004577816598, 873.095480022017]
	[-150.3810402947708, -1.667880386548049, 868.6482216070428]
	[-155.1901014961274, 4.432444706410365, 876.5159842965239]
	[-154.9384717360213, 5.691671548655478, 876.005144535499]
	[-155.5252224462405, 5.101708683445807, 877.563616468635]
	[-154.5854223186331, 4.94019301708552, 875.6493241176338]
	[-152.6391808508572, 2.468074853999013, 873.4627528921902]
	[-153.1754350997103, -1.263406454187717, 869.3355047941236]
	[-154.5292043898116, -1.800024957738472, 877.3712898036812]
	[-156.828895131568, 0.09864562051399162, 882.4737660885582]
	[-154.9855772634175, -1.434943262904525, 878.7300145536954]
	[-149.4055697888705, 0.762825356072824, 867.5532146478116]
	[-150.0302433619016, -0.945447073082974, 869.3101948159795]
	[-149.2143026045271, -2.434785883288214, 868.6552361146706]
	[-147.6613707486049, -2.593121210481712, 868.2427685114068]
	[-160.6941683730368, 1.460505145098566, 892.0822248046069]
	[-156.6493058430235, 5.880100243130016, 879.9964822489078]
	[-156.8547876256184, 4.74285273982548, 877.8614946326226]
	[-157.0280232628998, 8.084260055227233, 879.7104221911281]
	[-160.8922439210997, 10.38287256521757, 887.3058231536993]
	[-159.3036898881239, 7.677890247649259, 882.2624074996063]
	[-159.2068242280429, 9.399410859213859, 883.3385178467348]
	[-158.5692195653236, 7.849347053635455, 881.8884840437021]
	[-157.8182864564341, 7.870560130923565, 882.1479256863024]
	[-157.424441385318, 4.96441849256189, 881.2794378008603]
	[-159.1078499566879, 8.05664902609891, 884.3098536256321]
	[-158.6440290490154, 8.226530611884471, 882.4503893624189]
	[-158.5487348125999, 7.240162906102398, 882.0795306549669]
	[-158.2463223612207, 7.33863026789534, 881.4834524576736]
	[-158.4096435716734, 8.088727551559344, 882.3585016130613]
	[-158.0703861684225, 5.991516629360504, 880.0886777754557]
	[-158.1862839203437, 6.994655974029158, 882.9613169131428]
	[-160.1276229457063, 7.775799185705068, 887.1947383208164]
2
	[70.05662692670899, 67.65119581806611, 965.9997050052008]
	[78.40061558644823, 60.69194275092188, 968.2821812817823]
	[76.72086024207709, 62.15639769091143, 971.6907594128983]
	[76.75817936049717, 61.13954312993269, 971.1281590630301]
	[76.42597545686891, 61.50279643959884, 970.9981184027993]
	[76.62712995853676, 61.55065997923862, 971.0381567272852]
	[76.50245323420614, 62.28222136216229, 971.0907290304805]
	[76.78385474099929, 62.03406714589458, 970.1692838906151]
	[76.73400385384898, 61.31733393773267, 970.899190817684]
	[76.78237420865905, 61.67660109106629, 971.0602513618795]
	[77.08955289915974, 60.48634137943512, 971.6726389080842]
	[77.01465895003574, 61.57937460574614, 970.1425882768425]
	[76.98278516853567, 61.2564152240079, 971.1027665408693]
	[76.60595221946573, 61.46903788149233, 969.8496317987766]
	[76.49395135816657, 62.6283021607743, 969.6378058512082]
	[77.62028724848597, 61.7996897462956, 970.7302099015747]
	[74.87482132663463, 63.75242802214949, 969.4321893997364]
	[75.88262353035036, 62.6100111609219, 969.8521326560503]
	[-179.8050380846653, 119.6110040656361, 615.6824797197444]
	[38.30518600321934, -163.3749077516372, 857.3342520382225]
	[-79.36229797244916, -96.95853419039611, 886.6873298562938]
	[-158.859268857519, 42.90755788552902, 899.1225357301059]
	[-156.4577120956793, 36.12147566566952, 893.3780899993938]
