45	
	[117.7385444396829, 94.56498806652337, 966.6303526234774]
	[117.6446269882094, 93.17318238831635, 966.5601810245491]
	[117.2684871290479, 92.32521579637327, 966.7102142014428]
	[116.854919589751, 92.98035128280992, 967.2645536730433]
	[117.5092067480478, 92.76055979015545, 966.5367964329689]
	[115.3782054603484, 92.37715848567139, 968.7942416364933]
	[115.8420297591059, 92.48420011278823, 968.4062538700155]
	[117.8410556831217, 92.34501759928477, 966.0212373328714]
	[116.8555475586701, 92.66877972336816, 967.2765498331366]
	[117.60224686444, 92.95860517499898, 966.3958748497472]
	[115.8333982258378, 92.33498192219881, 968.3432547843599]
	[116.3068826816382, 92.13067014071324, 967.8628202049548]
	[118.0742244464031, 92.78615085422896, 965.8347488824087]
	[117.0409980196129, 92.64296263327024, 966.8940365409491]
	[117.4803647331166, 93.03985141127392, 966.5435346237618]
	[117.3885191712365, 92.86647425799549, 966.5518947627329]
	[116.5368494636296, 92.60427442371798, 967.4717551602603]
	[117.9417070478191, 92.69225110529543, 965.8709105927326]
	[117.445667759188, 92.41915560971263, 966.3835684788153]
	[116.4375989269734, 94.04592422778303, 970.8342300791189]
60
	[119.8568478623151, 92.03930531351506, 968.3736974826734]
	[117.9885335457334, 91.40954362551204, 969.2516858515969]
	[118.4311147781829, 91.66543117341664, 968.9099950047122]
	[-36.53642509153928, -100.9150643952719, 911.1921022447279]
	[-41.36207643675223, -96.25411141047242, 915.2304205279818]
	[-41.62385251445756, -97.44426747700984, 913.9252361533743]
	[-40.11952716423342, -98.55046870724908, 913.0611870042096]
	[-41.14855131957166, -96.95898447407382, 914.903445573244]
	[-40.17388957738599, -98.3728907491878, 913.0640761190007]
	[-40.93492661452115, -97.3053971257759, 913.8303054833577]
	[-40.73585759366125, -97.25436669565309, 914.0394335765814]
	[-40.36877456363912, -97.64828146610711, 914.3594912435893]
	[-40.07617216246697, -97.41603301583731, 912.9467921210753]
	[-40.23667367801384, -97.27368685807446, 913.3236687562892]
	[-40.40308592930884, -97.23910839405798, 913.6824709524535]
	[-39.96843719893074, -97.99174713591663, 913.225339232121]
	[-40.51768865352474, -97.63402927359293, 913.6270540877128]
	[-40.48588774104983, -97.39601442309372, 913.9799280681871]
	[-40.44909043804037, -97.8311835781857, 913.312121173675]
	[-40.76968982223276, -97.15015648830143, 914.1299005702319]
	[-40.37050206423847, -97.05142268438809, 914.141202109073]
	[-40.18742440716865, -97.41362277053399, 913.5031687007543]
	[-40.00025389132868, -97.67362505618129, 912.9253612141028]
75
	[10.18188885017136, -109.6537836586711, 864.9848287467157]
	[10.84089589401873, -110.0603684425715, 862.3781391280334]
	[12.51267443770494, -108.8407481767221, 862.1703330677997]
	[11.82855421520944, -109.4906004434608, 862.708561541386]
	[12.18435667512313, -109.8919594900722, 862.816750241181]
	[12.44594570078581, -110.220248832764, 862.1437453771067]
	[11.87542426835282, -110.0420645319992, 863.3662081283156]
	[11.98846246128706, -109.8188871858757, 863.6873749416658]
	[10.24536995771398, -110.0793135442089, 863.7942364674528]
	[10.37041500996089, -109.7163820705035, 864.3869088164932]
	[10.53471442833862, -110.1551213063818, 863.8581718735034]
	[11.32630631542552, -109.7083987906223, 864.0322171472855]
	[11.51179290437474, -109.9151686493827, 863.986621391787]
	[11.96543215375424, -110.0426942036972, 864.2104205360424]
	[13.67162966844542, -110.4855573180338, 863.4123014348456]
	[14.03835062986585, -110.8651861772779, 863.1105184250259]
90
105
	[84.37995997765535, 306.5494928839485, 841.0826820479411]
	[81.52811181773906, 306.30117246438, 839.2597305476428]
	[81.6316649994678, 306.4136262563405, 839.0643212888427]
	[82.71532280976406, 306.5317375580433, 839.9368624262485]
	[82.59089233048815, 305.6252803807625, 839.2202197708453]
