15	
	[107.6271341429928, 95.46784180527609, 961.9196189837396]
	[110.9312705002836, 96.61887546937669, 960.0052035944721]
	[110.6513945257779, 96.3760319470712, 961.0321071614319]
	[110.7548718895107, 96.3681764779607, 961.1093552387963]
	[111.0090951659603, 96.51665592237094, 960.4105423467923]
	[111.386489660973, 96.23337657261632, 961.7096318403495]
	[110.3740387166901, 96.6253644902441, 959.6083869288234]
	[109.5795436389119, 96.87663527962138, 958.5231571606316]
	[108.3285652588247, 96.83530802737997, 958.8260668119252]
30

		[142.4822645910592, -26.38909431838688, 1076.403709989366]
	[106.7459994709914, 103.2541290787819, 951.0496620234287]
	[110.0392081182976, 96.34672576306538, 965.6180180655432]
	[111.5341218503389, 96.24172832591856, 966.0164719371724]
	[107.7669824443212, 95.29390357197043, 966.0604818765543]
	[108.8159862187045, 97.13349724462729, 962.7837802376572]
	[108.9214254763486, 97.06668134659402, 963.9430314357708]
	[108.6487716045489, 95.74781566772614, 966.0196915391343]
	[108.5597830938195, 97.24475988011125, 963.1041056708066]
	[108.889435613171, 95.1152679106887, 967.1268132571054]
	[108.9578543579852, 96.28049691280299, 965.1032293668439]
	[109.2725778669116, 96.83617683217003, 963.9437758426076]
	[109.6582224043647, 95.69388329421217, 966.2574798626965]
	[109.6003310669561, 96.1603278260871, 965.4065122201168]
	[108.9780770880497, 96.07644994243671, 965.8576522636138]
	[109.0860487686199, 96.19219526947548, 965.3890934873598]
	[108.6036505089856, 96.39951680380027, 965.189727689224]
	[108.3889034724591, 96.4332370588794, 964.8886328803751]
	[109.0356679567052, 96.53135913269183, 964.4831724984765]
	[108.4191871720318, 96.9134808387382, 963.8562376991895]
	[109.2355161657698, 96.49665490482317, 964.7773382416185]
	[109.4789338246342, 95.50773027203095, 966.6588595742177]
	[109.2196129287212, 95.7210163688902, 966.4029052860196]
	[109.1051272057307, 95.74883101999077, 966.0489263359722]
45
	[103.0103738675025, 110.0389133380602, 951.8967203222476]
	[109.2736468737291, 99.73071004465611, 964.6400372327627]
	[109.280247201383, 100.1191283211326, 962.974960640898]
	[110.3543377593433, 99.2496148550494, 964.100064265223]
	[110.9711018335398, 98.95539929086192, 963.7137521672757]
