	[108.5704092856284, 82.86856887692674, 964.5382157792462]
	[108.6754292928649, 82.31934094251339, 966.7416838067627]
	[109.0314594204534, 84.59890850915386, 965.5475319030238]
	[107.5552830377434, 84.20581346319256, 967.9980707436305]
	[108.5792555996258, 84.30098790360034, 967.3587493650614]
	[109.1258014246396, 85.09159413987959, 966.2352761769082]
	[109.9326398330273, 84.87516510917752, 964.9005870934772]
	[108.9460275620421, 83.38202200147543, 967.201458230307]
	[110.0286501863935, 84.02185533097874, 965.5349406159642]
	[109.952436741734, 84.48642213415161, 965.2325507471394]
	[109.04746221192, 83.2068273603483, 967.1208621455265]
	[109.048484086354, 83.75492921978062, 966.6429568834416]
	[110.0410960710728, 85.03654971724249, 964.4973047055987]
	[109.3004750253808, 82.93386372112151, 967.0857891967828]
	[108.2497586908029, 83.36062601374361, 967.75647674895]
2
	[122.7200603618803, 75.01414311093839, 963.3594689656835]
	[122.7200603618803, 75.01414311093839, 963.3594689656835]
	[122.0785907287031, 75.85272328585569, 962.8876645179421]
	[122.9239553758164, 74.8742895768702, 963.6034188503959]
	[123.3377902853479, 75.28736400449932, 962.6191616681446]
	[123.1595386916315, 75.35730720069293, 962.751360093284]
	[123.3674554548598, 75.31143752500662, 962.7211152533994]
	[122.8831277792784, 75.86954772887982, 962.4679733697556]
	[123.5751292729966, 75.86489648087245, 962.0896779403531]
	[123.5938602574713, 74.59690615931456, 963.7258421420537]
	[123.8788575797026, 75.79824325949738, 962.0265454480291]
	[123.2503790427166, 74.11668619764372, 964.6823211183789]
	[123.9736846026573, 73.27700581713698, 965.3654750047981]
	[124.2046928392834, 74.60832354620719, 963.5082186225754]
	[124.2245931101694, 75.37060036589094, 962.3883490148419]
	[124.1355063929718, 77.36547994111675, 959.73736304098]
	[124.1769845734395, 74.73758741435154, 963.3946125233053]
3
	[119.4248355266421, 93.30345274814545, 965.3785154770367]
	[119.4248355266421, 93.30345274814545, 965.3785154770367]
	[119.2609717633625, 95.59776248831476, 963.7793982780763]
	[119.9743686773348, 94.62658852548935, 964.013040232275]
	[119.0788240517819, 94.24180854496609, 965.3056240632122]
	[119.8740852766704, 95.41907293791309, 963.3771373910041]
	[120.2437130126075, 94.39379377986812, 963.801272195431]
	[118.7201923250922, 94.15856330758437, 965.7205302856064]
	[119.6349056808412, 93.95032614663575, 964.9228346251405]
	[120.2820346398874, 94.65108995782118, 963.6720290811882]
	[119.122732235818, 94.71894252011241, 964.8780177800414]
	[119.8377454923807, 95.87665885118507, 963.3174823005941]
	[119.8339350155258, 93.84148468608549, 965.1324451295873]
	[119.6506013692021, 94.73415019707866, 964.5530289652273]
	[120.1296708103323, 95.7196525488209, 963.0680156312362]
	[120.0091360766684, 95.03283617748825, 963.9473326454447]
	[119.8009071044444, 94.05555109721632, 965.1968587202082]
	[119.4293020989901, 94.06323977989221, 965.4942605189379]
	[119.638876859095, 95.02644674571604, 964.7402555252118]
4
	[136.3175109185275, 69.09100431856827, 962.5536984367587]
	[135.2197132526298, 67.16606235812429, 965.3730065707337]
	[136.4413269875347, 67.9362160148828, 964.0061108260696]
	[136.2118344882423, 66.83236806623518, 964.5415441789131]
	[136.2179903595032, 68.46271432148211, 963.3982730768616]
	[135.9708705996518, 67.65683077509286, 964.1964419462879]
	[135.9697901435247, 66.83605493064358, 964.8372920410394]
	[136.1270233830621, 67.87251683083302, 963.8972391278501]
	[136.7654008294869, 68.88065699516584, 962.62522238315]
	[135.7434321044215, 67.67368152355502, 964.5558166535282]
5
	[126.6945289382134, 105.3335281530281, 965.0104797893341]
	[127.2099715180218, 106.6389037428726, 962.737709618184]
	[125.9077215599809, 107.6906266032718, 962.956805773359]
	[122.1184470797575, 109.1585081964442, 967.0123678538305]
	[127.2373699226196, 106.0430767914489, 963.9151060476172]
	[128.6667603438906, 105.8569295623756, 962.5327842370231]
	[127.8014930055425, 105.2069939885447, 964.2762203685803]
	[126.8952012040119, 108.1389970859898, 961.9840980425597]
	[123.911205593377, 109.8784643648664, 964.1269765637603]
	[122.1951632627634, 108.4569824471975, 967.3873133072937]
	[124.1139059596158, 109.3810871804241, 964.1165729179588]
	[126.1687383686372, 107.894524670614, 965.0752692083241]
	[126.0306997226087, 107.0751567628326, 964.0669507201784]
	[126.2801039946254, 107.7673583854868, 963.3669500101598]
6
