[460.0983581542969, 445.51025390625, 459.178466796875, 475.7953796386719, 549.3240966796875, 577.6466064453125, 635.3140869140625;
 496.0640563964844, 458.26806640625, 447.6609497070313, 463.6390991210938, 571.24072265625, 566.7092895507813, 557.8970336914063][381.2015991210938, 369.0895080566406, 381.5066833496094, 395.7886962890625, 467.3922119140625, 492.2086486816406, 541.8826904296875;
 481.9203796386719, 442.1336059570313, 431.0497436523438, 447.8509216308594, 558.9832153320313, 553.748046875, 543.6738891601563][460.0922241210938, 445.5132446289063, 459.1795349121094, 475.7991638183594, 549.3352661132813, 577.6593627929688, 635.3350219726563;
 496.076416015625, 458.2660217285156, 447.6584167480469, 463.6285095214844, 571.2490844726563, 566.7251586914063, 557.9138793945313][381.1964721679688, 369.0855102539063, 381.5083923339844, 395.7913208007813, 467.4146423339844, 492.2299194335938, 541.9291381835938;
 481.9136352539063, 442.1348571777344, 431.0303344726563, 447.8385620117188, 558.9928588867188, 553.7496948242188, 543.6787109375][460.0856018066406, 445.4967956542969, 459.1694030761719, 475.7884216308594, 549.3158569335938, 577.6334228515625, 635.3021240234375;
 496.0682983398438, 458.2624206542969, 447.6623229980469, 463.6250915527344, 571.2489013671875, 566.7269287109375, 557.91162109375][381.1775817871094, 369.0732421875, 381.4981994628906, 395.7720031738281, 467.39111328125, 492.1920776367188, 541.8792724609375;
 481.9066162109375, 442.1344909667969, 431.0547485351563, 447.8397521972656, 558.989501953125, 553.7534790039063, 543.6787719726563][460.07568359375, 445.5032958984375, 459.1731872558594, 475.7913818359375, 549.3302612304688, 577.6453857421875, 635.3248901367188;
 496.064453125, 458.271484375, 447.661376953125, 463.6384582519531, 571.2547607421875, 566.7369995117188, 557.9212036132813][381.1844482421875, 369.0679016113281, 381.5042724609375, 395.7884216308594, 467.3998107910156, 492.2166748046875, 541.9108276367188;
 481.9224548339844, 442.1407165527344, 431.0517883300781, 447.8591613769531, 559.00927734375, 553.7778930664063, 543.7027587890625][460.0797424316406, 445.5085754394531, 459.1692504882813, 475.7850952148438, 549.3150024414063, 577.6290893554688, 635.2939453125;
 496.0858764648438, 458.2728881835938, 447.6709594726563, 463.6472778320313, 571.271484375, 566.7379150390625, 557.93994140625][381.1868896484375, 369.0748901367188, 381.4985046386719, 395.7809753417969, 467.3770141601563, 492.1859130859375, 541.8742065429688;
 481.9385986328125, 442.1438598632813, 431.0623474121094, 447.8639526367188, 559.0067749023438, 553.7750854492188, 543.7057495117188][460.072509765625, 445.4996337890625, 459.1631164550781, 475.78515625, 549.3080444335938, 577.6324462890625, 635.3005981445313;
 496.0824584960938, 458.2782897949219, 447.6719360351563, 463.6384582519531, 571.2669677734375, 566.7420654296875, 557.9428100585938][381.1829833984375, 369.0639343261719, 381.4911193847656, 395.7781066894531, 467.3918762207031, 492.201171875, 541.8828125;
 481.9295654296875, 442.1497497558594, 431.0766906738281, 447.8661499023438, 559.0118408203125, 553.7835693359375, 543.71142578125][460.0822143554688, 445.4980773925781, 459.1626892089844, 475.7808532714844, 549.3223876953125, 577.6425170898438, 635.3143920898438;
 496.0844421386719, 458.2721557617188, 447.6694641113281, 463.65185546875, 571.2711791992188, 566.7544555664063, 557.9443969726563][381.1832275390625, 369.0735168457031, 381.5026245117188, 395.7771911621094, 467.3963623046875, 492.1986694335938, 541.8911743164063;
 481.9293518066406, 442.138671875, 431.0634155273438, 447.8610534667969, 559.0213623046875, 553.78564453125, 543.722900390625][460.0890197753906, 445.506103515625, 459.17431640625, 475.7867126464844, 549.3252563476563, 577.6383666992188, 635.3047485351563;
 496.0766906738281, 458.2761840820313, 447.6612854003906, 463.6421203613281, 571.2774658203125, 566.7457275390625, 557.9424438476563][381.1874389648438, 369.0810852050781, 381.4951171875, 395.7777404785156, 467.3842163085938, 492.1946716308594, 541.8903198242188;
 481.9224243164063, 442.1432495117188, 431.0612487792969, 447.856201171875, 559.0156860351563, 553.7810668945313, 543.7160034179688][460.0853271484375, 445.50732421875, 459.1709289550781, 475.7855529785156, 549.3244018554688, 577.6319580078125, 635.2991333007813;
 496.0718994140625, 458.2608337402344, 447.6626586914063, 463.6346740722656, 571.268798828125, 566.744873046875, 557.93896484375][381.1852416992188, 369.0785827636719, 381.4923400878906, 395.768798828125, 467.3861999511719, 492.196044921875, 541.8871459960938;
 481.9258728027344, 442.1389465332031, 431.0477600097656, 447.846435546875, 559.017822265625, 553.7804565429688, 543.7175903320313][460.07958984375, 445.505615234375, 459.1680603027344, 475.7901000976563, 549.3159790039063, 577.640380859375, 635.3126220703125;
 496.0744018554688, 458.2621154785156, 447.664306640625, 463.6383972167969, 571.2756958007813, 566.7481689453125, 557.9439086914063][381.1759338378906, 369.0655212402344, 381.48876953125, 395.7732238769531, 467.3827209472656, 492.2000732421875, 541.8933715820313;
 481.9149169921875, 442.1481628417969, 431.054443359375, 447.857666015625, 559.0156860351563, 553.785400390625, 543.7243041992188][460.0766296386719, 445.5058898925781, 459.1665344238281, 475.7793273925781, 549.3174438476563, 577.6328735351563, 635.3079223632813;
 496.0739135742188, 458.2781982421875, 447.6676330566406, 463.6414184570313, 571.275146484375, 566.7605590820313, 557.9520263671875][381.1742858886719, 369.069580078125, 381.4860229492188, 395.783203125, 467.3890686035156, 492.1981506347656, 541.8841552734375;
 481.9255065917969, 442.1465759277344, 431.0594177246094, 447.8583679199219, 559.0222778320313, 553.7918090820313, 543.72314453125][460.0856323242188, 445.5048828125, 459.1754455566406, 475.7910461425781, 549.3207397460938, 577.6353149414063, 635.2985229492188;
