Angulacion
punto 1 -> perpendicular 
110
	[-123.1010046725677, 247.6996570825155, 853.9543049091911]
	[-123.1010046725677, 247.6996570825155, 853.9543049091911]
	[-124.395835735912, 248.0230796938676, 856.2050556142099]
	[-123.6766759020572, 247.5917175546818, 856.913142009998]
	[-123.2723474513788, 247.8110514530368, 853.1110451774894]
	[-123.0956237037588, 247.6983009362364, 853.427433459854]
	[-122.9296147605359, 247.6090957853066, 853.4910443205383]
	[-122.8178859499462, 247.5877870353544, 853.3600663683418]
	[-123.2773846180255, 247.6674184390777, 854.5569275770637]
	[-124.105200671711, 248.0361269757561, 854.8100675863802]
	[-124.9800511526725, 248.2072989813685, 856.7380580654965]
	[-124.5178320683972, 248.1036015986635, 855.8352708165432]
	[-124.1318417740716, 247.8445305881905, 856.7276280339045]
	[-123.9385883575744, 247.7585449809776, 856.7389889063707]
	[-124.1387854884119, 248.0392178909799, 854.8671955059391]
	[-124.0019808385134, 247.8439533144526, 856.2425073545157]
	[-123.4228510937902, 247.593573313719, 856.1087096301108]
	[-124.0421472521835, 247.8685414531729, 855.8523527306763]
	[-124.0488747659333, 247.7776371894957, 856.7638288940597]
	[-124.0788069931862, 247.8992613534934, 855.8893789695926]
	[-124.1990873654256, 247.8770205760149, 856.2525961243557]
	[-124.0647121658509, 247.8689303811071, 855.7539719160013]
	[-124.5748868725984, 247.9301699069967, 857.0681861306741]
	[-123.5340395691145, 247.6817253253107, 855.7339389875879]
	[-124.4453204232088, 247.7752919015959, 857.8971814894429]
	[-123.5625849566696, 247.529414868594, 856.7835696565411]
	[-124.2422397262481, 247.6603747058596, 858.0836779910877]
	[-123.3789244064912, 247.6034759577709, 855.6847985430347]
	[-124.6174187889376, 247.9881700404801, 856.7669741572975]
	[-124.3869411012168, 247.8339966672182, 857.1514453217405]
	[-124.1791986342965, 247.9465332515339, 855.0272670898825]
	[-124.6009867879984, 247.8749720177028, 857.3788831827673]
	[-124.4087141010483, 248.7297450549741, 855.8856990512636]
	[-124.603460722559, 248.7428657291301, 856.9449298769433]
	[-124.6992315761929, 248.7713396744893, 856.3808979990237]
	[-124.5471247746622, 248.7471433163406, 856.0462771454177]
	[-124.2953393427975, 248.6907244847243, 855.1723231859313]
	[-124.0387112465084, 248.6394028369909, 855.7809962609577]
	[-123.0977555773947, 248.3987836846403, 854.6503914177973]
	[-123.4902938835104, 248.4916148317573, 855.1473505368236]
	[-124.9029158804273, 248.8110722221313, 855.3922806041395]
	[-123.9440919028151, 248.6037233677453, 854.5308504316893]
	[-123.7350567212156, 248.5709259920563, 855.2281814800149]
	[-123.4428736477707, 248.5035269200214, 855.3585163949434]
	[-123.4414049964598, 248.5014625751481, 854.3604282422478]
	[-123.8095538062518, 248.5724487149011, 855.3308974698032]
	[-123.6326501399123, 248.5241149955337, 855.3902926446809]
